記事,タイトル,URL,サマリー
0,Twitter広告で個人ユーザーの投稿を盗用 化粧品メーカーが謝罪 「運用は広告会社に委託していた」,https://www.itmedia.co.jp/news/articles/2307/05/news133.html,化粧品メーカーのプレミアアンチエイジング（東京都港区）は7月4日、同社と無関係な個人ユーザーのツイートを無断でまねし、Twitter広告を作ったとして謝罪した。同社は該当の投稿をした広報アカウントを削除。広告の制作とTwitterアカウントの運用は広告会社に任せていたと説明している。問題のTwitter広告は6月29日に投稿したもの。同社のブランド「クレイエンス」のヘアカラーを宣伝する内容だった。しかし、Twitter上ではこの広告の文面などが、2020年に投稿された個人のツイートと酷似していると指摘され、物議を醸していた。その後、同社は問題のツイートを削除し、Twitterアカウントも削除した。プレミアアンチエイジングによると、Twitter広告の制作・運用は広告会社のピアラ（東京都渋谷区）に委託していたという。一方で「広告会社の管理や投稿内容の確認が十分ではなかった」と認め、再発防止に努めるとしている。プレミアアンチエイジングの声明ピアラも4日に声明を発表。他ユーザーの過去のツイートを盗用したことを認めて謝罪した。同社は「広告を作成するに当たり、当社の広告運用に対する認識が欠如していた」と説明。再発防止のため、この事案を社内で周知し、社内のモラルの向上や広告内容の管理フローを見直すとしている。ピアラの声明
1,TBSがゲーム事業に参入 オリジナルIP創造に向け協力事業者を募集,https://www.itmedia.co.jp/news/articles/2307/05/news121.html,TBSテレビは7月5日、ゲーム事業への本格参入に向け、ブランド「TBS GAMES」を立ち上げたと発表した。「心や生活を豊かにするゲームを作り、有名ゲームキャラクターのように、世界中で親しまれるオリジナルIPの創造を目指す」としている。TBSグループのコンテンツ創造力を武器に、モバイル、アーケード、カードゲームなど広い意味のゲーム事業に参入。同日に公開したティーザーサイトでは「ご興味を持たれた企業様はご連絡ください」と、協力事業者を募集している。TBSテレビの番組がゲームになった例としては「炎の体育会TV」「どうぶつ奇想天外！」などがある。今後発売するゲームや関連情報はティーザーサイトで順次発信していく。これまでにゲーム化されたテレビ番組
2,製造業向けクラウドのキャディが118億円調達 2030年までに主力サービスの売上1兆円目指す,https://www.itmedia.co.jp/news/articles/2307/05/news119.html,製造業向けクラウドサービスを手掛けるキャディ（東京都台東区）は7月5日、ベンチャーキャピタルなどから約118億円の資金を調達したと発表した。資金はサービスの機能強化に充てる他、人材採用に活用する。中でも主力サービスの「CADDi MANUFACTURING」では、2030年までに売上1兆円規模を目指すという。資金はベンチャーキャピタルのグロービス・キャピタル・パートナーズ（東京都千代田区）に加え、SMBCグループや三菱UFJグループのベンチャー向けファンドなどから調達。これにより、キャディの調達総額は約217億3000万円になった。キャディは2017年創業。産業装置用部品などの受発注プラットフォームであるCADDi MANUFACTURINGに加え、22年からはデータ化した図面の管理・活用が可能なクラウドサービス「CADDi DRAWER」を提供している。海外でのサービス提供にも注力しており、米国、ベトナム、タイでも事業を展開している。
3,Google、ネット上の公開情報をAIのトレーニングに利用しているとプライバシーポリシーに明記,https://www.itmedia.co.jp/news/articles/2307/05/news080.html,米Googleは7月1日、プライバシーポリシーを更新した。Googleが公開している更新の差分を確認できるページによると、変更があったのは日付を除いて2箇所。1つ目は「コンテンツや広告など、カスタマイズしたサービスの提供」という条項で、以前は「たとえば、「マウンテンバイク」というキーワードで検索すると、Googleが配信する広告を表示するサイトを閲覧しているときにスポーツ用品の広告が表示されることがあります。」となっていたところが「たとえば、「マウンテンバイク」というキーワードで検索すると、YouTubeでスポーツ用品の広告が表示されることがあります。」と変更された。2つ目は、ユーザーが公開した情報の収集に関する条項だ。本文内の「公開情報」の定義を説明するリンク先が以下のように変わっている。日本語では、「たとえば、インターネットに一般公開されている情報やその他の公開情報源からの情報を収集し、Googleの言語モデルの学習やGoogle翻訳などの機能の構築に役立てることがあります。」が「たとえば、インターネットに一般公開されている情報やその他の公開情報源からの情報を収集し、GoogleのAIモデルのトレーニングのほか、Google翻訳、Bard、CloudのAI機能などのサービスや機能の構築に役立てることがあります。また、ビジネスの情報がウェブサイトで公開されている場合は、インデックスに登録してGoogleサービスに表示することもあります。」となった。つまり、収集するデータやその利用方法については変わらないが、従来より具体的に明示するようになった。Twitterのオーナー、イーロン・マスク氏は多数の組織がAIのトレーニングのためにTwitterから情報をスクレイピングしていると非難したが、Googleは自社のAIツールのトレーニングにネット上に一般公開されている情報をすべて使っているということだ。
4,東大、生成AIシンポジウムのアーカイブ動画を公開 孫正義氏「日本は真正面からAI開発に取り組むべき」,https://www.itmedia.co.jp/news/articles/2307/05/news114.html,東京大学は7月4日、同日に開催した生成AIシンポジウムのアーカイブ動画を公開した。イベントにはソフトバンクグループの孫正義代表取締役会長兼社長や東大の松尾豊教授、西村康稔経済産業大臣、米OpenAI幹部のシェイン・グウさんらが登壇。孫会長は「日本は今こそ真正面からAI開発に取り組むべきだ」と訴えた。シンポジウムに登壇した孫正義氏テーマは「生成AIが切り拓く未来と日本の展望」。人間を超えて進化していくAIについて不安を覚えるという意見に対し、孫氏は「不安に思い過ぎる必要はない」とし「幸いなことにAIはタンパク質ではなく電気を食べる。だからAIには人類を取って食べる動機がないし、神様や仏様のように賢くて聡く、愚かなことはしない。だから日本は安心して真正面から最大限にAI開発に取り組むべきだ」と語った。他にも「行政機関（政府・自治体）における生成 AIの利用と課題」や「広島AIプロセスについて」「生成AIと研究・教育」などのセッションも実施。これらのアーカイブ動画も公開している。
5,「アイドルマスター」公式Twitterの一部が突如消失 「デレステ」や「シャニマス」など 原因不明【復旧済み】,https://www.itmedia.co.jp/news/articles/2307/05/news108.html,メディアミックス作品「アイドルマスター」に関する公式Twitterアカウントの一部が突如、閲覧できない状態になった。7月5日正午時点で「シンデレラガールズ スターライトステージ」（＠imascg_stage）「シャイニーカラーズ」（＠imassc_official）「ミリオンライブ！ シアターデイズ」（＠imasml_theater）の3アカウントが「このアカウントは存在しません」と表示される状態になっている。同じアイドルマスターシリーズの公式Twitterアカウントで、影響を受けなかった「シンデレラガールズ【ブランド公式】」（＠imas_CGofficial）などは、現在詳細を調査中と説明。詳しい原因については明かしていない。Twitterを巡っては、7月1日に閲覧制限が突如掛かるなど、急な仕様変更が相次いでいる。アイドルマスターファンの中には、Twitter側に原因があるのではないかと疑う人も見られる。同日午後1時40分ごろ、復旧発表シンデレラガールズ スターライトステージ公式Twitterは同日午後1時42分ごろ、アカウントの復旧を報告。他の2つのアカウントも閲覧可能な状態へ戻った。
6,Yahoo!ショッピングに定期購入機能 値付けやポイントで差別化も,https://www.itmedia.co.jp/news/articles/2307/05/news106.html,ヤフーは7月5日、ECモール「Yahoo!ショッピング」で、お米や水などの日用品を利用者が指定した頻度で定期的に届ける「定期購入」の提供を始めた。発注の手間が省け、買い忘れもなくなるとしている。定期購入の対象商品はカートに入れる際に通常購入か定期購入かを選べる商品が定期購入の対象だった場合、利用者は「配送頻度」と「次回お届け日」を指定できる。次回お届け日の15日前になると案内メールが届き、11日前までなら配送予定日や支払い方法の変更、解約なども行える。支払い方法はYahoo!ウォレットに登録されたクレジットカードもしくは「PayPayあと払い」、商品代引。対象商品は商品検索の絞り込み機能などで探せる。一方の出店社は、リピート率の高い商品などを任意に定期購入商品に指定し、通常とは異なる価格やポイントを設定できる。またヤフーによると、今後は専用クーポン機能などの追加も予定しているという。お届け頻度は1日単位で設定できる
7,フランス、Googleに3億円の罰金 消費者に必要な情報を提供しなかったとして,https://www.itmedia.co.jp/news/articles/2307/05/news100.html,フランス政府は7月4日（現地時間）、米Googleが消費者に適切な情報提供を行わなかったとして同社アイルランド支部に201万5000ユーロ（約3.2億円）の罰金を求める行政処分をしたと発表した。消費者に明確かつ公平で透明性のある情報を提供しなかったとしてフランスは2021年にGoogleを調査。Google検索においては、結果表示順の決定方法を提示していない点、ホテルなどの宿泊プランを検索してもキャンセルや返金が可能かなどの情報を適切に表示できない点などの問題が見つかった。GooglePlayにおいては、検索結果の表示順を決定する基準を提示していない、アプリ提供者や支払情報などの情報が不足している、レビューを掲載しない場合に拒否理由を示さないといったことが分かった。一部の問題は修正が完了している。
8,サイボウズがベンチャーキャピタル組成 生成AI・Web3スタートアップを支援へ,https://www.itmedia.co.jp/news/articles/2307/05/news082.html,サイボウズは7月4日、ベンチャーキャピタル「kintone Teamwork Fund」を組成し、出資や支援を希望する企業の募集を開始した。同社のクラウドサービス「kintone」との連携を前提に、Web3や生成AIなどを活用するスタートアップを支援していくという。出資対象はアーリーかミドルステージ（成長の初期～中期）にあるスタートアップ。（1）Web3や生成AIといった技術を活用しており、kintoneとのシナジーが見込める、（2）社会インフラ、医療、農業など、kintoneが普及していない業界向け、（3）海外市場向け──といった条件を満たすサービスに出資するという。出資額は1社につき1000万円～1億円程度で、2025年までに20～30社を支援する予定。支援のイメージ出資対象には資金だけでなく、kintoneの無料ライセンスや、拡販の支援なども提供するという。サイボウズはスタートアップとの連携を通して「kintoneエコシステムのさらなるなる拡大を目指す」としている。
9,Twitterは「開発頼まれても断りたいレベル」？ エンジニア視点で意見続々,https://www.itmedia.co.jp/news/articles/2307/05/news077.html,Twitterは、「エンジニア視点で見ると、作ってと言われたら断りたいほどめんどくさいしろもの」――ドワンゴ取締役／ニコニコ代表の栗田穣崇（くりた・しげたか）さんのこんなツイートがきっかけで、Twitterを開発する難しさについて、エンジニアたちが意見を交わしている。栗田さんは、「Twitterのタイムラインはユーザーから見ると『ツイート並べてるだけでしょ？』みたいに簡単なサービスに見えるけど、エンジニア視点で見ると、作ってと言われたら断りたいほどめんどくさいしろもの」とツイート。Twitter代替サービスがなかなか出てこない理由として、開発が大変なこと、維持費が大いのにマネタイズが難しいことを挙げた。ニコニコ動画の開発に初期から関わっている戀塚昭彦さんは、栗田さんの投稿を引用しつつ、「最近のTwitterは多機能、大規模、高速を全部兼ね備えてるので、ちょっとやそっとじゃ真似できない」「すごい小規模ならある程度は簡単に作れそうでも、ユーザー数とリアルタイム性によって実現してる『場』が成立しない」と述べた。他のエンジニアからも、Twitterのリアルタイム性や、数億人というユーザー規模、大規模データベース管理などの視点から、開発や維持は「絶対にやりたくない」といった意見が続々と出ている。
