記事番号,タイトル,URL,サマリー
0,ＦＯＭＣ議事要旨、混乱招いた据え置きと追加利上げ予想の解明なるか,https://www.bloomberg.co.jp/news/articles/2023-07-05/RX8MUSDWX2PS01?srnd=cojp-v2,米金融当局は５日午後（日本時間６日未明）、６月13、14両日に開いた連邦公開市場委員会（ＦＯＭＣ）会合の議事要旨を公表する。同会合の決定と当局者の経済予測、パウエル連邦準備制度理事会（ＦＲＢ）議長の記者会見の内容にウォール街は困惑を抱いた。２％の当局目標に向けたインフレ率押し下げの取り組みは予想よりも進展が鈍い状況にあるものの、ＦＯＭＣは前回会合で５月までの10回連続で引き上げてきたフェデラルファンド（ＦＦ）金利の誘導目標レンジを５－5.25％に据え置いた。一方、当局者が最新の四半期経済予測の金利予測分布図（ドット・プロット）で示した年内の追加利上げ見通しは２回と市場の予想を上回り、投資家の間には混乱が広がって、明確な説明を望む声が上がっている。ネーションワイド・ライフ・インシュアランスのチーフエコノミスト、キャシー・ボストジャンシク氏はパウエル議長について、「混乱した内容のメッセージを発した」と指摘するとともに、「それはＦＯＭＣ内のタカ派とハト派の間の気まずい妥協を反映しているのではないか」と語った。ボストジャンシク氏はその上で、「議事要旨からはこの点に関して知見が得られるかもしれない一方、パウエル議長が示したひどい内容の説明を繰り返すだけかもしれない」と話した。パウエル議長は６月の決定について、積極的に進めてきたこれまでの利上げや、一連の米地銀経営破綻を受けた信用の引き締まりを考慮し、金融当局として経済データを評価するさらなる時間を確保したい考えだとしている。議長は先週、ＦＯＭＣ参加者の大多数は年末までに金利を２回もしくはさらに多く引き上げるのが適切であろうと予想していると述べるとともに、複数回連続での利上げを検討することも排除しないと語った。関連記事：ＬＨマイヤー/マネタリー・ポリシー・アナリティクスのエコノミスト、デレク・タン氏は、「２会合連続で利上げしないとなれば、利上げサイクルはまだ続いていると主張するのは難しくなるため、７月の利上げは既定路線ではないが非常にそれに近い」とし、議事要旨では７月利上げを巡る市場の観測を強める可能性があると話す。ただ、「ピーク金利は高くなる公算が大きく、適切なタイミングに関しては広範囲の見解が示されて、議事要旨はできる限り多くの柔軟性を確保することになるだろう」と、タン氏はコメントした。ブルームバーグ・エコノミクスの米国担当チーフエコノミスト、スチュアート・ポール氏は「インフレリスクは依然、上方に傾斜しており、７月25、26両日の次回ＦＯＭＣ会合に先立って金融当局のコミュニケーションは引き続きタカ派に傾くと見込まれる」との分析を示した。今月のＦＯＭＣ会合の前には、６月の雇用統計（７日）と同月の消費者物価指数（12日）が発表される。米商務省が６月30日に発表した５月の個人消費支出（ＰＣＥ）価格指数は、総合指数が前年同月比3.8％上昇と２年強ぶりの低い伸びとなったものの、当局者が注視する食料品とエネルギーを除くコア指数は同4.6％上昇した。ハイ・フリークエンシー・エコノミクスの米国担当チーフエコノミスト、ルビーラ・ファルキ氏は「予想を上回る米経済のパフォーマンスが続き、インフレ率がなかなか鈍化しないことが問題で、それがしばらくの間、ＦＯＭＣのタカ派傾斜を持続させる可能性がある」とみている。もう一つ重要なのは、地銀の連鎖的破綻を受けて経済成長の逆風と見なされている与信状況について、ＦＯＭＣがどう評価していたかだ。バークレイズ・キャピタルのシニアエコノミスト、ジョナサン・ミラー氏（ニューヨーク在勤）は「６月時点では、状況がどうなっているのか、さらなる情報を見守るのを正当化するだけの懸念が残っていたと見受けられる」と語る。「しかし、与信状況が予想ほど引き締まっていないのであれば、今後２会合で２回の追加利上げに踏み切る良い理由になるだろう」と論じた。原題：Fed Minutes to Offer Hints on ‘Awkward’ Pause-and-Hike Message（抜粋）
1,インフレ強行軍のＦＲＢとＥＣＢ－世界の金融政策、今後一層乖離も,https://www.bloomberg.co.jp/news/articles/2023-07-04/RXAM0HDWX2PS01?srnd=cojp-v2,"執拗（しつよう）なインフレが欧米の中央銀行当局者に引き締めモードを継続させる一方、他の地域の中銀は独自の方向に進んでおり、世界各国・地域の金融政策は今後数カ月で一層乖離（かいり）する可能性が高い。米連邦準備制度が25、26日に開く連邦公開市場委員会（ＦＯＭＣ）の次回会合と、27日の欧州中央銀行（ＥＣＢ）政策委員会では、追加利上げが予想される。他の一部中銀も似た軌道上にあり、ブルームバーグ・エコノミクス（ＢＥ）が集計する借り入れコストの総合指標は、今四半期に6.25％のピークを示す。これは３カ月前の予想（６％）を上回る水準だ。しかし、そうした全体の数字の上昇は、最近と比較しても世界的に見て同期性がはるかに失われた現状を覆い隠す。中国人民銀行（中銀）は先月既に金融緩和に踏み切り、インド準備銀行は２会合連続で政策金利を据え置いた。トルコ中銀は新総裁就任に伴う金融政策の軌道修正で、引き締めを開始したばかりで、ロシア中銀も近く後に続く可能性がある。一方、日本銀行は将来ある時点の金融刺激解除に向け遅々として動いていると受け止められている。イングランド銀行（英中央銀行）で特に顕著だが、欧米の中銀当局者は今に至るまでインフレ見通しに十分大きな影響を及ぼすことができない現状に直面している。これに対し、他の中銀は、これまでの引き締めの効果が表れるまでさらに時間を要するか判断すべく利上げを停止している。関連記事ＢＥのチーフ欧州エコノミスト、ジェイミー・ラッシュ氏は｢どこまで高くなるかが、投資家にとって2023年上期の大問題だった。多くの中銀について、それは明らかになりつつある。インフレとの闘いの第１段階は終わりに近づいており、金利は間もなくピークに達するだろう。いつまで続くかが今年下期の大問題だ。われわれの予測が示す基調インフレ率の低下ペースは鈍い。急激な景気下降がない限り、米国やユーロ圏、英国のような先進諸国では、24年半ばになるまで利下げが行われる可能性は低い」と指摘した。The Bloomberg Central Bank Outlook What’s set to happen with interest rates by the end of 2023 Source: Bloomberg Economics forecasts; survey of economists for Czech Republic, Nigeria, Norway, South Africa and SwitzerlandパウエルＦＲＢ議長 Photographer: Andrew Harrer/BloombergＢＥの米国担当チーフエコノミスト、 アナ・ウォン氏は｢しつこく下げ渋るコアインフレ率がＦＯＭＣに25ベーシスポイント（ｂｐ、１ｂｐ＝0.01％）の追加利上げを促し、フェデラルファンド（ＦＦ）金利誘導目標レンジの上限は5.5％となる公算が大きい。経済活動が弱まり失業率が上昇することで、政策担当者はその後の追加引き締めを思いとどまるだろう。景気下降にもかかわらず、連邦準備制度は年内は利下げせず、上限5.5％のピーク水準で政策金利据え置きを選択する可能性が高い」と予測する。ＢＥのユーロ圏シニアエコノミスト、デービッド・パウエル氏は「ＥＣＢは利上げサイクルの終わりに近づきつつある。基調インフレ率は既にピークに達し、金融引き締めは信用状況に著しい影響を与えつつある。ＢＥはさらに２回、７月と９月に25ｂｐの利上げが決定されると見込む。われわれの中立金利の推定値は1.5－1.75％だが、中銀預金金利は４％と景気抑制的な領域に深く入り込むだろう。基調インフレ率の鈍化に伴い来年６月に最初の利下げがあると考えている」との見解を示す。日銀の植田和男総裁 Photographer: Kiyoshi Ota/Bloomberg一方、ＢＥの木村太郎シニアエコノミストは「市場の混乱で投機家がイールドカーブ・コントロール（ＹＣＣ、長短金利操作）の枠組みへの挑戦をやめざるを得なくなったため、最近の米銀行破綻に対し、日銀はうしろめたい喜びを感じたはずだ。植田和男総裁は、より持続的で需要主導のインフレを促進する努力に集中できる状態になった。日銀は24年下期のある時期になるまでＹＣＣの枠組みを堅持する公算が大きい。いかなる新たな政策も引き続き緩和的となり、恐らく政策金利をゼロにとどめ、債券の買い入れも継続するだろう」と分析した。原題： Inflation Slog Grips Fed and ECB as Global Rate Policy Decouples（抜粋）"
2,日本の銀行株が世界でアウトパフォーム、政策修正から業績へ関心移る,https://www.bloomberg.co.jp/news/articles/2023-07-04/RX8TP1T1UM0W01?srnd=cojp-v2,日本の銀行株が米国の地銀の破綻を発端とする信用不安前の水準を上回ってきた。日本銀行の政策修正が期待される中、インフレによる貸し出しの増加が株価を押し上げている。日本の銀行株の戻りは早い Photographer: Kiyoshi Ota/BloombergＴＯＰＩＸ銀行業指数は４日、相場全体に逆行する形で大幅高となり、2015年８月以来の高値を付けた。世界の主な銀行株指数の中で、３月からの世界的な銀行株安以前の水準を回復したのは日本だけで、上昇が際立っている。万年割安株として長らく放置されてきた銀行株は、日銀の政策修正観測が株式市場で強まった22年末から株価のレンジを切り上げた。イールドカーブコントロール（ＹＣＣ、長短金利操作）で長期金利の変動許容幅を拡大・撤廃するとの思惑から、収益環境の改善を期待した買いが入ってきた。足元では新たな要因が株価上昇を後押ししている。日銀が６月に発表した５月の貸出・預金動向の 速報では、銀行・信金の貸し出し合計が前年比3.4％増と３カ月連続で伸びが拡大した。コロナ禍で貸し出しが増加した時期を除けば09年３月以来の高水準だ。企業の資金需要の増大は業績への恩恵期待を高める。マネックス証券の広木隆チーフストラテジストは「インフレになり実質金利がマイナスになる中では、資金を借りても投資した方が得だ」と指摘。これまで資金を借りなかった企業が借りるようになっているとし、貸し出し需要の伸びがより鮮明になってくるとみる。市場が予想する10年後の物価動向を示すブレークイーブンインフレ率（ＢＥＩ、期待インフレ率）は１％台前半と、約８年ぶりの水準に上昇。名目金利が横ばいの中で期待インフレ率が上昇し、実質金利は足元で大きく低下している。ただ、株価上昇により銀行株の割安さは薄れている。ＴＯＰＩＸ銀行業指数の予想株価収益率（ＰＥＲ）は9.2倍と、米銀の8.6倍や欧州銀行の6.5倍を上回っている。08年のサブプライムローン問題に起因する金融危機以降、めったになかった現象だ。日銀の政策修正観測は根強いものの、銀行株と金利変動の連動性は失われており、市場の関心は政策修正から業績に向かっている。ＳＢＩ証券の鮫島豊喜シニアアナリストは「金融政策修正の期待相場はいったん終わり、業績として利ざやをしっかりと稼げるかどうかに目が移る」との見方を示した。
3,米株に積み上がった強気ポジション、揺り戻しのリスク示唆－シティ,https://www.bloomberg.co.jp/news/articles/2023-07-04/RX9W6GDWRGG001?srnd=cojp-v2,６月末にかけて投資家が積み上げた米国株先物に対する強気ポジションはかなりの行き過ぎがあるように見受けられ、揺り戻しのリスクが高まっている。米シティグループのストラテジストが分析した。シティの３日付リポートによれば、Ｓ＆Ｐ500種株価指数先物には先週、新たなロングポジションが約71億ドル（約１兆250億円）追加された。投資家には「まずまずの大きな利益」が出ていると、シティは指摘した。ストラテジストのクリス・モンタギュー氏は、ロングポジション全体では最近付けた過去最大を下回っているが、「相場が既にどれほど動いたかを考えると、この利益を確保するために今後１週間には巻き戻しが見られる可能性がある」と述べた。ネットポジションはなお強気だが、警戒の兆しがすでに表れているとの見方をモンタギュー氏は示し、ナスダック先物に先週流入した新たなポジションは圧倒的にショート（売り持ち）だったと語った。原題： Citi’s Montagu Says US Stock Positioning Shows Pullback Risk（抜粋）
4,中国の金属輸出規制はもろ刃の剣、対中依存減らす日米欧の動き加速も,https://www.bloomberg.co.jp/news/articles/2023-07-05/RXANGPT0G1KW01?srnd=cojp-v2,中国が今週発表した半導体などの材料に使われる金属２種類の輸出規制は、中国による先端技術へのアクセスを妨げようとする日米欧に対し、報復する力が中国にあることを示した。だが、裏目に出る可能性もある。３日遅く公表された新たな輸出許可制度は半導体や電気自動車（ＥＶ）、通信機器の材料として使われるガリウムとゲルマニウムの生産で中国が支配的地位にあることを如実に示した。またイエレン米財務長官の訪中直前という発表のタイミングは、中国の発展を阻害する恐れがある輸出規制の撤廃を米政府に求めている中国が交渉で優位に立つことを狙ったものとみられる。中国、半導体製造に不可欠な金属の輸出制限へ－米欧と対立強める中国のテクノロジーを巡る米欧への報復的な貿易戦争がエスカレートしている Source: Bloombergだが、この措置はもろ刃の剣であり、対中依存を減らそうとする日米欧の動きを加速させ得る。また中国がある時点でこの新ルールを利用して輸出制限や他国への供給削減を図った場合、値上がりを招き、日本やカナダ、米国などで増産する方がコストがかからなくなる公算が大きい。「これは米国とその同盟国に中国が仕掛けている報復の一環だ」とシンガポール国立大学（ＮＵＳ）の荘嘉穎准教授（政治学）は指摘。その上で「市場や企業は最初、ショックを受けるかもしれないが、こうした制限が長引いたとしても市場も企業もそのうち慣れるだろう」と述べた。習主席のジレンマまた今回の動きは、技術へのアクセスを妨げようとしている米国への対抗措置を習近平国家主席が目指す上で直面するジレンマを浮き彫りにする。中国による報復は、米欧がリスク低減を推し進める動機を強めるだけだからだ。台湾外交部（外務省）の李淳政務次長は今回の新たな措置について、米国などの輸出規制への仕返しだとした上で「中国は常に報復的なアプローチを取る」とし、こうしたアプローチは「これらの重要な鉱物や原材料の供給で中国への依存度を減らそうとする台湾や韓国、日本などの動きを速めるだろう」と語った。中国の過去に行ったレアアース（希土類）販売規制の取り組みは、中国に管理されていないレアアースの供給確保に諸外国が動いたことから、中国の市場シェアが減っただけで終わった。中国が初めてレアアースの輸出許可制度を導入したのは1990年代で、徐々に関税を引き上げ、中国からの供給に依存していた日本などの企業は苦境に陥った。その後、尖閣諸島の周辺海域で違法操業をしていた中国漁船がパトロール中の海上保安庁の巡視船に衝突した2010年の事件をきっかけに中国は日本への輸出を一時停止した。これを受け、中国に代わるレアアース供給源を探す動きが広がり、オーストラリアと米国が生産を拡大。米地質調査所（ＵＳＧＳ）によると、中国のレアアース生産シェアはピークだった10年の98％から22年には70％に低下した。China's Dominance of Rare Earth Supply Wanes Rare earth production has diversified since China began limiting exports Source: US Geological Survey英重要鉱物情報センター（ ＣＭＩＣ）によれば、ガリウム生産における中国の世界シェアは現在約94％。中国が価格を割安な水準にとどめているものの、抽出のコストは比較的高くなり得る。ただ、ガリウムは特に希少とは言えず、見つけにくいわけでもない。ユーラシア・グループのアンナ・アシュトン氏ら研究者はリポートで、「輸出規制を課せば、市場における独占的地位が揺らぐ恐れがある」と指摘。「現状のまま実施されれば、中国の新たな輸出鉱物規制は外国メーカーの中国から生産を移転させる動きは弾みがつき、サプライチェーン分散化傾向の勢いが増すだろう」と分析した。原題： Xi’s Metal Curbs Risk Backfiring as G-7 Seeks Alternatives (1)（抜粋）
5,１－３月の需給ギャップはマイナス0.34％、２期ぶり改善－日銀,https://www.bloomberg.co.jp/news/articles/2023-07-05/RXAQNVDWRGG001?srnd=cojp-v2,日本銀行は５日、日本経済の潜在的な供給力と実際の需要の差である需給ギャップが１－３月期にマイナス0.34％になったとの試算を 発表した。昨年10－12月期はマイナス0.37％で、２期ぶりの改善となる。供給が需要を上回るマイナスは12期連続。労働投入ギャップがプラス0.12％と２期ぶりのプラスに浮上した一方、設備稼働率などから試算する資本投入ギャップはマイナス0.46％に悪化した。需給ギャップの参考指標である短観の設備判断と雇用人員判断を基にした「短観加重平均ＤＩ」（過剰－不足）を見ると、不足超幅は拡大基調にある。今後も需給ギャップは改善が続きそうだ。日銀は物価の基調を構成する要素として、需給ギャップを賃金や予想物価上昇率とともに重視している。植田和男総裁は５月の 講演で、物価は「需給ギャップによって決まってくる」と説明。基調的な物価が２％の物価安定目標に向けて徐々に高まっていくという現在の見通しは、「需給ギャップが改善し、中長期的な予想物価上昇率や賃金上昇率が高まっていくということが前提」と語った。４月の経済・物価情勢の展望（ 展望リポート）で、日銀は需給ギャップが「今年度半ばごろにはプラスに転じ、プラス幅を緩やかに拡大していく」と見込んだ。新たな展望リポートについて議論する今月27、28日の金融政策決定会合では、消費者物価（生鮮食品を除くコアＣＰＩ）見通しの上方修正とともに政策修正が行われるとの見方が市場の一部に根強い。日銀は需給ギャップを生産設備の稼働率や失業率・労働参加率などから試算している。内閣府も需給ギャップを公表しているが、国内総生産（ＧＤＰ）を基に推計しており、方法には違いがある。日本銀行本店 Photographer: Kentaro Takahashi/Bloomberg
6,ＳＢＩが台湾大手と半導体工場建設へ「供給網の起点に」と北尾氏,https://www.bloomberg.co.jp/news/articles/2023-07-05/RXAYN4T1UM0W01?srnd=cojp-v2,ＳＢＩホールディングスは５日、台湾の大手半導体受託生産会社、パワーチップ・セミコンダクター・マニュファクチャリング・コーポレーション（ＰＳＭＣ）と日本国内に半導体製造工場を建設するための準備会社を設立することで合意したと発表した。ＳＢＩのロゴマーク Source: Bloomberg発表資料によると、ＰＳＭＣは半導体の受託生産会社としては台湾３位、世界６位。ロジックとメモリーの両方を生産でき、車載用のパワー半導体などの生産に強みを持つ。工場建設の時期や場所、事業総額などは決まっておらず、今後両社を中心に詰めていく計画。ＳＢＩの北尾吉孝社長は会見で、半導体生産について「輸出市場として日本で作る意味がある。グローバルサプライチェーンの起点にする」と述べた。「金融機能で日本の半導体産業の復興に貢献したい」とも話し、これまで構築してきた地域金融機関が地元で融資できる体制を作っていく考えも示した。政府は半導体を戦略分野と位置付け支援を強化。これまでに受託生産世界最大手、台湾積体電路製造（ ＴＳＭＣ）が熊本県に新設する工場建設などに最大約4760億円を助成。国内メモリー大手の キオクシアホールディングスが三重県内に建設する工場向けにも最大約929億円を交付している。北尾氏は半導体生産工場について、短期的に車載・産業機器用の生産に注力し、中長期的には３次元化や微細化を進めていく方針を示した。資金調達などについてはＳＢＩの主力行である三井住友銀行やみずほ銀行とも相談しながら進めていくという。ＳＢＩの 株価は発表を受け上昇し、一時前日比３％高の2943.5円まで上昇した。証券ジャパンの大谷正之調査情報部部長は「半導体の需要はまだまだ伸びていくので、前向きな話であることは間違いないだろう」と分析。ただ、工場設立や生産開始はまだ先で、今後どうやって投資を回収していけるかが一番重要だ」とも指摘した。関連記事：
7,ドル・円は144円台後半、需給ギャップマイナスで緩和維持との見方,https://www.bloomberg.co.jp/news/articles/2023-07-04/RXAKF8T0G1KW01?srnd=cojp-v2,５日の東京外国為替市場のドル・円相場は１ドル＝144円台後半で小じっかり。米国休場明けで狭いレンジでの動きとなる中、日本銀行の需給ギャップ発表後から買いが優勢となった。需給ギャップは12期連続のマイナスで、緩和継続観測が強まり円売り安心感につながった。ドル・円は午後３時39分現在、前日比0.1％高の144円67銭。ここまで144円39銭を安値に一時144円73銭まで上昇みずほ銀行の鈴木健吾チーフマーケットストラテジストは、１ー３月期の需給ギャップは改善したもののマイナス圏にあり、相場の受け止めとしては緩和継続となりやすいと分析。日銀の緩和姿勢が際立つ中で円は売られやすく、145円超えてからの介入警戒感の強まり方が重要になりそうだとみている。１－３月の需給ギャップはマイナス0.34％、２期ぶり改善－日銀円は５日、対オフショア人民元で前日に続き１人民元＝20円を超え、昨年11月以来の水準を付けた。政府・日銀が昨年円買い介入に踏み切った局面では20円50銭を超えた円安水準だった。他のクロス円対比で円安ペースが緩慢なオフショア人民元・円相場での円安加速が円独歩安を一段と推し進める可能性がある。【視点】円の対人民元安が新たな段階に、20円突破し円独歩安は秒読み
8,中国の世茂、資産の強制競売で買い手つかず－債務再編に暗雲,https://www.bloomberg.co.jp/news/articles/2023-07-05/RXB6MHDWX2PS01?srnd=cojp-v2,デフォルト（債務不履行）に陥った中国の不動産開発会社、 世茂集団は、18億ドル（約2600億円）規模の同社プロジェクトが強制競売にかけられたものの、買い手がつかなかった。中国経済低迷の中で投資需要が乏しい現状を裏付けている。サッカー場34個分に相当する土地資産の入札で、査定額を20％下回る水準の売値が提示されたが、買い手はいなかった。ＪＤドットコムのオンライン競売サイトに入札結果が掲載された。中国の不動産セクターは回復が続かず、投資家は資産取得に慎重になっている。世界的に見てもニューヨークから香港に至る商業用不動産市場は、弱い景気見通しと在宅勤務の一般化で苦戦を強いられている。ブルームバーグ・インテリジェンスの不動産アナリスト、クリスティー・フン、リサ・チョウ両氏は５日のリポートで、資産の流動化が難しく「世茂の債務再編にとって新たなハードルになるだろう」と指摘した。原題： Chinese Builder’s $1.8 Billion Distressed Asset Gets No Bids (1)（抜粋）
9,日本株続落、米経済指標発表控え持ち高調整売り－商社や内需関連安い,https://www.bloomberg.co.jp/news/articles/2023-07-04/RXAITMT1UM0W01?srnd=cojp-v2,５日の東京株式相場は続落。日本時間の今晩に発表のある米国の製造業受注や７日の雇用統計を控え、持ち高を調整する売りが優勢だった。堅調相場の続いた商社や精密機器株などは反動も加わり値を下げた。小売りやサービス、陸運といった内需株も軟調だった。ただ、取引開始後に大幅安となった場面からは押し目買いが入り、東証株価指数（ＴＯＰＩＸ）の下げはわずかだった。割安（バリュー）株に買いが入り、鉄鋼や非鉄金属などの素材株が高く、海運株の上げも目立った。ＴＯＰＩＸの終値は前日比0.34ポイント（0.01％）安の2306.03日経平均株価は83円82銭（0.3％）安の３万3338円70銭市場関係者の見方証券ジャパンの大谷正之調査情報部部長東証33業種下落率上位 精密機器、陸運、銀行、小売 上昇率上位 海運、医薬品、保険、鉄鋼関連記事
